,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
00:14:A5:C5:96:5D, 2018-07-11 21:36:22, 2018-07-11 21:40:05,7,54, OPN ,       ,   ,-83,24,0,   0.  0.  0.  0,8, Motorola,CAP8
C8:D7:B0:57:7E:9D, 2018-07-11 21:38:28, 2018-07-11 21:40:05,6,54, OPN ,       ,   ,-82,6,0,   0.  0.  0.  0,17, MOVISTAR WIFI3279,CAP8
4C:6E:6E:9E:20:70, 2018-07-11 21:36:36, 2018-07-11 21:40:05,6,54, WPA2, CCMP TKIP,PSK,-82,28,0,   0.  0.  0.  0,20, WifiTelsur_HEPM_2.4G,CAP8
50:C7:BF:CE:A5:6A, 2018-07-11 21:36:36, 2018-07-11 21:40:05,8,54, WPA2, CCMP,PSK,-81,15,0,   0.  0.  0.  0,12, TP-LINK_A56A,CAP8
48:D3:43:0E:3E:69, 2018-07-11 21:36:36, 2018-07-11 21:40:05,6,54, WPA2WPA , CCMP TKIP,PSK,-80,10,0,   0.  0.  0.  0,11, VTR-5833663,CAP8
00:27:22:3E:BB:D7, 2018-07-11 21:36:35, 2018-07-11 21:40:04,1,54, WPA2, CCMP TKIP,PSK,-79,19,0,   0.  0.  0.  0,11, Melillanca1,CAP8
48:D3:43:8B:13:D9, 2018-07-11 21:36:22, 2018-07-11 21:40:05,6,54, WPA2, CCMP,PSK,-79,29,0,   0.  0.  0.  0,8, NORA....,CAP8
84:B5:17:3D:A0:70, 2018-07-11 21:36:35, 2018-07-11 21:40:04,1,54, WPA2, CCMP,PSK,-78,12,0,   0.  0.  0.  0,11, Funcionario,CAP8
92:2A:A8:A1:76:3F, 2018-07-11 21:36:21, 2018-07-11 21:40:05,6,54, OPN ,       ,   ,-78,9,0,   0.  0.  0.  0,22, Punto Creativo visitas,CAP8
84:B5:17:3D:A0:71, 2018-07-11 21:36:21, 2018-07-11 21:40:04,1,54, OPN ,       ,   ,-77,14,0,   0.  0.  0.  0,6, Visita,CAP8
62:02:71:60:CD:5A, 2018-07-11 21:36:22, 2018-07-11 21:40:01,9,54, WPA2, CCMP,PSK,-77,5,0,   0.  0.  0.  0,15, wifitelsur_MANP,CAP8
84:B5:17:3D:A0:7F, 2018-07-11 21:36:25, 2018-07-11 21:40:08,-1,54, WPA2, CCMP,PSK,-77,16,0,   0.  0.  0.  0,11, Funcionario,CAP8
84:B5:17:3D:A0:7E, 2018-07-11 21:36:25, 2018-07-11 21:40:08,-1,54, OPN ,       ,   ,-76,16,0,   0.  0.  0.  0,6, Visita,CAP8
40:0D:10:CF:82:31, 2018-07-11 21:36:21, 2018-07-11 21:40:04,1,54, WPA2WPA , CCMP TKIP,PSK,-75,24,0,   0.  0.  0.  0,11, VTR-2972846,CAP8
40:0D:10:29:A6:19, 2018-07-11 21:36:21, 2018-07-11 21:40:04,1,54, WPA2WPA , CCMP TKIP,PSK,-75,20,0,   0.  0.  0.  0,11, VTR-8520100,CAP8
64:70:02:64:D4:AF, 2018-07-11 21:36:52, 2018-07-11 21:40:01,6,54, WPA2WPA , CCMP TKIP,PSK,-74,0,0,   0.  0.  0.  0,8, WIFI-SSV,CAP8
C8:3A:35:2B:C7:D0, 2018-07-11 21:36:21, 2018-07-11 21:40:05,5,54, WPA , CCMP,PSK,-72,42,0,   0.  0.  0.  0,8, wifi_meb,CAP8
40:0D:10:CF:82:37, 2018-07-11 21:36:25, 2018-07-11 21:40:08,157,54, WPA2WPA , CCMP TKIP,PSK,-68,14,0,   0.  0.  0.  0,11, VTR-2972846,CAP8
4C:6E:6E:A4:30:AD, 2018-07-11 21:36:22, 2018-07-11 21:40:05,11,54, WPA2, CCMP TKIP,PSK,-65,27,0,   0.  0.  0.  0,11, Telsur_WIFI,CAP8
44:D9:E7:E1:F3:60, 2018-07-11 21:36:22, 2018-07-11 21:40:05,11,54, OPN ,       ,   ,-57,47,0,   0.  0.  0.  0,13, SmartValdivia,CAP8
44:D9:E7:E1:F3:70, 2018-07-11 21:36:22, 2018-07-11 21:40:06,-1,54, OPN ,       ,   ,-52,22,0,   0.  0.  0.  0,13, SmartValdivia,CAP8
,,,,,,,,,,,,,,
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,,
