Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
27;infrastructure;VTR-1827716;C0:05:C2:A0:FB:51;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;21;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:20 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;Cabana-1;6A:02:71:79:5F:28;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:05 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;PDV;D4:68:4D:24:5F:1D;;157;No;WPA2,AES-CCM;No;54.0;0;11;0;0;0;0;0;;;Wed Jul 11 21:13:03 2018;Wed Jul 11 21:15:24 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;Red_Interna;00:25:C4:17:69:A1;;6;No;WEP;No;54.0;0;20;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:20 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;Alumnos;D4:68:4D:24:5F:1C;;157;No;OPN,None;No;54.0;0;13;0;0;0;0;0;;;Wed Jul 11 21:12:29 2018;Wed Jul 11 21:15:24 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;canelos CLIENTE;4C:6E:6E:98:08:8F;;3;No;WPA2,AES-CCM,TKIP;No;54.0;0;20;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:20 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;AHC;50:C7:BF:29:0F:98;;2;No;WPA2,WPA,AES-CCM;No;54.0;0;11;0;0;0;0;0;;;Wed Jul 11 21:12:59 2018;Wed Jul 11 21:15:20 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;EMn-9ef88e-10-14102;00:0F:60:08:AA:0A;;11;No;WPA2,AES-CCM;No;54.0;0;16;0;0;0;0;0;;;Wed Jul 11 21:12:41 2018;Wed Jul 11 21:15:21 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;Home;4E:6E:6E:98:08:8F;;3;No;WPA2,AES-CCM;No;54.0;0;14;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:20 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;Wifi_DNRV;00:25:C4:4C:53:21;;11;No;WPA,TKIP;No;54.0;0;6;0;0;0;0;0;;;Wed Jul 11 21:12:12 2018;Wed Jul 11 21:15:06 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;APCCU;00:1A:30:33:2F:F0;;7;No;WPA,TKIP;No;54.0;0;7;0;0;0;0;0;;;Wed Jul 11 21:12:40 2018;Wed Jul 11 21:15:06 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;ConoceValdivia.cl;44:D9:E7:E0:DA:20;;1;No;OPN,None;No;54.0;0;14;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:20 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;WifiTelsur_DA8D;4C:6E:6E:9A:DA:8E;;4;No;WPA2,AES-CCM,TKIP;No;54.0;0;21;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:20 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
40;infrastructure;SmartValdivia;44:D9:E7:E1:5D:C0;;6;No;OPN,None;No;54.0;0;20;0;0;0;0;0;;;Wed Jul 11 21:12:26 2018;Wed Jul 11 21:15:20 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;Wifi_SEREMI_XIV;E8:DE:27:6F:E5:F9;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;20;0;0;0;0;0;;;Wed Jul 11 21:12:12 2018;Wed Jul 11 21:15:21 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
42;infrastructure;SHELL_ALEMANIA;82:4C:4B:67:D8:91;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;12;0;0;0;0;0;;;Wed Jul 11 21:12:12 2018;Wed Jul 11 21:15:21 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
43;infrastructure;Alumnos;D4:68:4D:24:5C:DC;;48;No;OPN,None;No;54.0;0;17;0;0;0;0;0;;;Wed Jul 11 21:12:12 2018;Wed Jul 11 21:15:21 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
44;infrastructure;PDV;D4:68:4D:24:5C:DD;;48;No;WPA2,AES-CCM;No;54.0;0;17;0;0;0;0;0;;;Wed Jul 11 21:12:12 2018;Wed Jul 11 21:15:21 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
45;infrastructure;Alumnos;D4:68:4D:24:5F:18;;11;No;OPN,None;No;54.0;0;4;0;0;0;0;0;;;Wed Jul 11 21:12:12 2018;Wed Jul 11 21:15:21 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
46;infrastructure;HP-Print-2C-LaserJet 1102;84:4B:F5:AB:F8:2C;;6;No;OPN,None;No;54.0;0;8;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:20 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
47;infrastructure;CELESTE;40:70:09:61:3D:E0;;11;No;WPA2,AES-CCM;No;54.0;0;16;0;0;0;0;0;;;Wed Jul 11 21:12:26 2018;Wed Jul 11 21:15:21 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
48;infrastructure;PDV;D4:68:4D:24:5F:19;;11;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Wed Jul 11 21:12:12 2018;Wed Jul 11 21:15:06 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
49;infrastructure;Casa Centro;AC:84:C6:47:51:F6;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;20;0;0;0;0;0;;;Wed Jul 11 21:12:26 2018;Wed Jul 11 21:15:20 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
50;infrastructure;Melillanca1;00:27:22:3E:BB:D7;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;13;0;0;0;0;0;;;Wed Jul 11 21:12:40 2018;Wed Jul 11 21:15:20 2018;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
51;infrastructure;CELESTE-5G;40:70:09:61:3D:E5;;48;No;WPA2,AES-CCM;No;54.0;0;18;0;0;0;0;0;;;Wed Jul 11 21:12:13 2018;Wed Jul 11 21:15:21 2018;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
52;infrastructure;Wifi;82:6D:1A:ED:83:94;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;33;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:20 2018;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
