,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
48:D3:43:87:D9:81, 2018-07-11 21:34:00, 2018-07-11 21:35:03,1,54, WPA2WPA , CCMP TKIP,PSK,-81,5,0,   0.  0.  0.  0,11, VTR-0149588,CAP7
40:0D:10:29:A6:19, 2018-07-11 21:31:06, 2018-07-11 21:35:03,1,54, WPA2WPA , CCMP TKIP,PSK,-79,25,0,   0.  0.  0.  0,11, VTR-8520100,CAP7
84:B5:17:3D:A0:7E, 2018-07-11 21:31:10, 2018-07-11 21:34:53,-1,54, OPN ,       ,   ,-79,15,0,   0.  0.  0.  0,6, Visita,CAP7
40:0D:10:CF:82:37, 2018-07-11 21:31:24, 2018-07-11 21:35:08,157,54, WPA2WPA , CCMP TKIP,PSK,-78,17,0,   0.  0.  0.  0,11, VTR-2972846,CAP7
84:B5:17:3D:A0:7F, 2018-07-11 21:31:10, 2018-07-11 21:35:08,-1,54, WPA2, CCMP,PSK,-78,19,0,   0.  0.  0.  0,11, Funcionario,CAP7
00:16:B6:14:46:B1, 2018-07-11 21:31:06, 2018-07-11 21:35:04,6,54, WPA2, CCMP,PSK,-78,25,0,   0.  0.  0.  0,7, Canelos,CAP7
48:D3:43:0E:3E:69, 2018-07-11 21:31:21, 2018-07-11 21:35:04,6,54, WPA2WPA , CCMP TKIP,PSK,-78,16,0,   0.  0.  0.  0,11, VTR-5833663,CAP7
84:B5:17:3D:A0:70, 2018-07-11 21:31:06, 2018-07-11 21:35:04,1,54, WPA2, CCMP,PSK,-77,23,0,   0.  0.  0.  0,11, Funcionario,CAP7
6A:D3:43:0E:3E:69, 2018-07-11 21:31:07, 2018-07-11 21:35:04,6,54, WPA2, CCMP,PSK,-77,15,0,   0.  0.  0.  0,17, Invitados Robledo,CAP7
92:2A:A8:A1:76:3F, 2018-07-11 21:31:35, 2018-07-11 21:35:04,6,54, OPN ,       ,   ,-77,18,0,   0.  0.  0.  0,22, Punto Creativo visitas,CAP7
68:72:51:5E:70:8B, 2018-07-11 21:31:07, 2018-07-11 21:35:05,13,54, WPA2, CCMP,PSK,-77,46,0,   0.  0.  0.  0,12, Melillanca 3,CAP7
40:0D:10:CF:82:31, 2018-07-11 21:31:06, 2018-07-11 21:35:03,1,54, WPA2WPA , CCMP TKIP,PSK,-76,37,0,   0.  0.  0.  0,11, VTR-2972846,CAP7
84:B5:17:3D:A0:71, 2018-07-11 21:31:20, 2018-07-11 21:35:03,1,54, OPN ,       ,   ,-75,21,0,   0.  0.  0.  0,6, Visita,CAP7
C8:3A:35:2B:C7:D0, 2018-07-11 21:31:06, 2018-07-11 21:35:04,5,54, WPA , CCMP,PSK,-73,32,0,   0.  0.  0.  0,8, wifi_meb,CAP7
44:D9:E7:E1:F3:70, 2018-07-11 21:31:07, 2018-07-11 21:35:05,-1,54, OPN ,       ,   ,-72,21,0,   0.  0.  0.  0,13, SmartValdivia,CAP7
58:EF:68:B7:B2:05, 2018-07-11 21:31:06, 2018-07-11 21:35:04,1,54, WPA2, CCMP TKIP,PSK,-68,23,0,   0.  0.  0.  0,5, Cerec,CAP7
44:D9:E7:E1:F3:60, 2018-07-11 21:31:07, 2018-07-11 21:35:05,11,54, OPN ,       ,   ,-56,52,0,   0.  0.  0.  0,13, SmartValdivia,CAP7
,,,,,,,,,,,,,,
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,,
